id,claude-opus-5 [max]/correct,claude-opus-5 [xhigh]/correct,claude-opus-5 [high]/correct,gpt-5.6-sol [max]/correct,gpt-5.6-sol [xhigh]/correct,claude-fable-5 [xhigh]/correct,claude-fable-5 [max]/correct,gpt-5.6-terra [max]/correct,gpt-5.6-sol [high]/correct,claude-opus-5 [medium]/correct,claude-fable-5 [high]/correct,kimi-k3 [max]/correct,gpt-5.6-luna [max]/correct,gpt-5.5 [xhigh]/correct,claude-fable-5 [medium]/correct,gpt-5.5 [high]/correct,gpt-5.6-sol [medium]/correct,gpt-5.6-terra [xhigh]/correct,claude-fable-5 [low]/correct,claude-opus-4.8 [max]/correct,claude-opus-5 [low]/correct,qwen3.8-max [xhigh]/correct,gpt-5.6-luna [xhigh]/correct,muse-spark-1.2 [xhigh]/correct,claude-opus-4.8 [xhigh]/correct,gpt-5.5 [medium]/correct,claude-sonnet-5 [max]/correct,grok-4.5 [high]/correct,gpt-5.6-terra [high]/correct,deepseek-v4-flash [max]/correct,muse-spark-1.1 [xhigh]/correct,gpt-5.4 [xhigh]/correct,claude-opus-4.8 [high]/correct,claude-sonnet-5 [xhigh]/correct,claude-opus-4.8 [medium]/correct,gemini-3.6-flash [high]/correct,claude-sonnet-5 [high]/correct,gpt-5.6-sol [low]/correct,gpt-5.6-luna [high]/correct,glm-5.2 [max]/correct,claude-opus-4.8 [low]/correct,claude-sonnet-5 [medium]/correct,gemini-3.5-flash [medium]/correct,glm-5.2 [high]/correct,gpt-5.6-terra [medium]/correct,kimi-k2.7-code/correct,claude-sonnet-5 [low]/correct,claude-sonnet-4.6 [high]/correct,gpt-5.5 [low]/correct,gpt-5.6-terra [low]/correct,gemini-3.1-pro [high]/correct,gpt-5.6-luna [medium]/correct,gpt-5.6-luna [low]/correct,difficulty
kombu-virtual-queue-dead-lettering,0.75,1.0,1.0,0.5,0.5,0.25,0.0,0.5,0.0,0.5,0.5,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.75,0.75,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
koota-composite-trait-aspects,1.0,0.6667,0.6667,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.6667,0.75,0.75,1.0,0.0,0.75,0.5,0.75,0.0,0.5,0.0,0.0,0.25,0.5,0.25,0.5,0.25,0.0,0.25,0.0,0.0,0.75,0.0,0.3333,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
koota-deferred-mutation-buffer,0.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.75,0.5,0.25,0.5,0.5,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5,0.25,0.0,0.25,0.75,0.25,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
koota-entity-snapshot-rollback,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,1.0,0.75,1.0,1.0,0.75,0.25,0.5,0.75,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.25,0.75,1.0,0.5,0.0,0.0,0.0,0.0,level0
koota-pair-relation-tracking,0.75,0.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.75,0.75,0.5,0.75,0.25,0.5,0.5,0.0,0.0,0.75,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,level0
koota-query-predicates,0.6667,0.6667,1.0,0.25,0.0,0.75,1.0,0.0,0.0,1.0,0.6667,0.25,0.0,0.25,0.75,0.25,0.0,0.0,0.5,0.75,1.0,0.25,0.0,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
kysely-window-grouping-helpers,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.0,0.75,1.0,0.5,0.5,0.75,0.5,0.25,0.75,1.0,0.5,0.25,1.0,0.5,1.0,0.25,0.5,0.5,0.0,0.75,0.5,0.75,0.0,0.0,0.75,0.5,0.25,0.0,0.0,0.0,level0
langchain-request-coalescing,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.25,1.0,0.5,0.3333,1.0,0.5,0.25,0.25,0.75,0.75,1.0,0.25,0.5,0.0,0.5,0.25,0.5,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.25,0.6667,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.0,level0
mashumaro-flattened-dataclass-fields,0.75,0.75,0.5,1.0,0.75,0.75,0.5,1.0,1.0,0.25,0.75,0.5,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.0,0.5,0.5,1.0,0.75,0.0,0.0,0.5,0.75,0.75,1.0,0.25,0.5,0.0,0.5,0.0,0.25,0.5,0.5,0.75,0.5,0.0,0.0,0.25,0.0,0.5,0.25,0.5,0.25,0.0,0.5,0.0,0.0,0.0,level0
meriyah-explicit-resource-declarations,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.75,0.0,0.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,level0
mnamer-daemon-watch-lifecycle,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.25,0.75,1.0,0.5,0.75,1.0,1.0,1.0,0.75,0.75,0.5,1.0,0.25,0.25,0.0,0.25,0.75,0.25,0.5,0.3333,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,level0
mobly-grouped-test-barriers,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.25,1.0,1.0,0.5,0.0,0.75,1.0,0.75,0.5,0.75,0.75,0.75,0.0,1.0,1.0,1.0,0.5,1.0,0.25,0.75,1.0,0.5,0.5,0.0,0.25,1.0,0.75,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,level0
narwhals-rolling-window-suite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.75,1.0,1.0,1.0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,level0
numba-stencil-boundary-modes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.75,0.6667,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,0.75,0.25,0.75,0.5,1.0,0.5,1.0,0.5,0.25,0.5,1.0,0.0,0.75,0.0,0.25,0.0,0.5,0.5,0.0,0.25,0.0,0.25,0.5,0.0,0.0,level0
obsidian-linter-auto-table-of-contents,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
obsidian-linter-link-format-conversion,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.5,1.0,0.0,0.25,0.5,0.75,0.0,0.25,0.5,0.25,0.0,0.5,0.25,0.5,0.5,0.0,0.5,0.0,1.0,0.25,0.5,0.25,0.75,0.75,0.0,0.0,0.0,0.0,level0
obsidian-linter-scoped-ignore-markers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,0.5,0.75,1.0,0.5,0.5,0.75,0.75,0.75,0.25,0.5,1.0,0.75,1.0,1.0,0.75,0.5,0.25,0.5,1.0,0.5,1.0,0.5,0.25,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.0,level0
ofetch-per-origin-circuit-breaker,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,0.75,0.75,0.75,1.0,0.5,0.75,0.0,0.5,0.5,0.5,0.25,0.0,level0
onedump-dump-encryption-pipeline,1.0,0.25,0.75,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.25,0.25,0.5,0.0,0.75,0.25,0.0,0.25,1.0,0.5,0.5,0.0,0.0,0.25,1.0,0.0,0.5,0.75,0.25,1.0,0.5,0.0,0.75,0.25,0.5,0.75,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.5,0.0,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,level0
opa-rego-rule-profiling,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.75,0.75,0.5,0.25,0.75,0.25,0.75,0.0,0.75,0.25,0.0,0.5,0.5,0.75,0.75,1.0,1.0,0.75,0.25,1.0,0.75,0.5,0.0,1.0,0.25,0.25,1.0,0.0,0.0,0.75,0.75,0.25,0.0,level0
opa-template-string-reconstruction,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.25,0.25,0.5,1.0,0.75,1.0,0.75,0.25,1.0,0.75,0.75,1.0,0.25,1.0,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.5,0.5,0.75,0.25,0.0,0.5,0.75,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,level0
optique-conditional-option-dependencies,0.5,0.75,0.0,1.0,0.5,0.0,0.5,0.75,0.75,0.5,0.0,0.5,0.75,0.75,0.0,0.75,0.0,0.25,0.0,0.0,0.5,1.0,0.5,0.25,0.25,0.25,0.5,0.25,0.75,1.0,0.25,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
oxvg-structural-selector-preservation,0.25,0.0,0.25,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.6667,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,level0
participle-grammar-conflict-analysis,1.0,1.0,1.0,0.0,0.0,0.25,0.5,0.5,0.25,1.0,0.5,0.5,0.5,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.25,0.75,0.0,1.0,0.75,0.25,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.75,0.0,0.25,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,level0
pebble-durability-wait-apis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.5,0.75,0.25,0.75,1.0,0.25,1.0,0.75,0.5,0.0,0.75,0.5,0.5,0.5,1.0,0.5,0.25,0.0,0.25,0.75,0.5,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,level0
pest-character-class-coalescing,1.0,1.0,0.75,0.0,0.0,0.25,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.25,0.0,1.0,0.25,0.0,0.25,0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
prometheus-transactional-reload-status,0.5,0.25,0.25,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.0,1.0,0.25,0.25,0.5,0.25,0.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.25,0.75,0.75,0.25,1.0,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,level0
prometheus-typed-label-sorting,0.25,0.75,1.0,1.0,0.75,0.25,0.5,1.0,1.0,0.5,0.75,1.0,0.75,1.0,0.75,0.75,1.0,0.75,0.5,0.5,0.5,0.25,0.75,0.75,0.25,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.25,0.0,0.25,0.75,0.25,1.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.75,0.0,0.0,0.0,level0
psd-tools-blend-range-api,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.0,1.0,0.75,1.0,0.5,1.0,0.75,0.75,0.5,0.75,0.0,0.5,0.5,1.0,0.0,0.0,level0
pwntools-tube-multiplexing,1.0,1.0,1.0,0.5,0.75,0.0,0.0,0.5,0.3333,0.6667,0.0,0.25,0.25,0.25,0.0,0.75,0.5,0.75,0.0,0.5,1.0,0.25,0.5,0.25,0.75,0.0,1.0,0.5,0.25,0.0,0.0,0.5,0.5,0.75,0.75,0.0,0.5,0.25,0.0,0.25,0.6667,0.25,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.3333,0.0,0.0,0.0,level0
python-statemachine-state-data-scoping,1.0,1.0,1.0,0.25,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.25,0.5,1.0,0.25,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.25,0.0,0.75,1.0,0.5,0.0,1.0,0.25,0.0,0.0,0.75,0.25,0.25,0.5,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,level0
query-persist-restored-query-state,1.0,0.75,1.0,0.25,0.5,0.5,0.5,0.25,1.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.75,0.5,0.25,0.75,0.75,1.0,0.5,0.75,0.5,1.0,0.75,0.5,1.0,1.0,1.0,0.5,0.75,0.25,0.75,1.0,0.5,1.0,0.5,0.75,1.0,0.0,1.0,0.5,level0
quill-shared-toolbar-focus,0.25,0.0,0.5,0.75,0.25,0.25,0.0,0.25,0.25,0.25,0.5,0.25,0.5,0.0,0.5,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.75,0.5,0.5,0.25,0.0,0.0,0.25,0.5,0.25,0.25,1.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,level0
returns-validated-error-accumulation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.5,0.75,0.5,0.0,0.25,0.0,0.0,0.0,level0
scc-bounded-memory-spilling,0.5,0.75,0.25,1.0,1.0,0.5,1.0,1.0,0.75,0.25,0.6667,0.5,1.0,0.75,0.5,1.0,0.5,0.75,0.3333,0.75,0.0,0.25,1.0,1.0,0.75,0.75,0.5,1.0,0.75,0.5,1.0,1.0,0.75,0.0,0.25,0.0,0.25,0.75,1.0,1.0,0.25,0.75,0.5,0.75,0.5,0.5,0.25,0.0,0.25,0.0,0.25,0.25,0.0,level0
scriggo-method-declarations,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.0,1.0,0.0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,level0
skrub-duration-encoding,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.5,0.25,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.25,0.75,0.75,0.25,0.25,0.0,0.25,0.5,1.0,1.0,0.0,0.75,0.0,0.0,0.25,0.5,0.75,0.0,0.5,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,level0
sql-formatter-bigquery-pipe-formatting,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.0,0.0,level0
sqlfmt-create-table-ddl-formatting,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.5,0.3333,0.25,0.25,0.25,1.0,0.25,0.25,0.0,0.5,0.25,0.25,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.5,0.25,0.0,0.5,0.0,0.25,0.25,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,level0
sqlite-utils-safe-import-checkpoints,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.25,1.0,1.0,0.75,0.75,0.5,1.0,0.75,0.75,0.75,0.75,0.5,0.25,0.75,1.0,0.25,0.5,0.0,0.75,0.5,0.25,0.75,0.75,0.5,0.0,0.75,0.5,0.0,0.25,0.75,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,level0
superjson-error-stack-serialization,0.0,0.0,0.25,0.75,0.5,0.0,0.5,1.0,1.0,0.25,0.0,0.0,1.0,1.0,0.0,0.25,0.75,0.5,0.0,,0.25,0.25,1.0,0.0,0.0,1.0,0.25,0.25,0.75,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.0,0.5,0.75,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,level0
task-task-graph-export,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,1.0,1.0,0.5,0.5,1.0,0.75,1.0,1.0,0.75,0.5,0.75,1.0,0.5,0.75,1.0,0.5,0.25,0.0,0.5,0.75,0.75,0.5,0.0,0.25,0.25,0.25,0.25,0.25,0.0,level0
tengo-callable-instance-isolation,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.75,0.75,1.0,0.75,0.0,1.0,0.5,1.0,1.0,0.25,0.25,0.0,1.0,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,level0
tengo-destructuring-bindings,1.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.25,0.25,0.5,1.0,0.75,0.5,0.25,0.5,0.5,0.0,0.75,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
termenv-preserve-ansi-resets,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.0,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,level0
testem-bail-on-test-failure,0.5,0.75,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.75,0.6667,0.5,0.5,0.25,0.3333,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
testem-per-launcher-reports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.75,0.75,1.0,0.5,1.0,0.5,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,level0
textual-kitty-key-phases,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.25,0.75,1.0,0.75,0.75,0.0,0.75,0.75,0.5,0.25,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.75,0.5,0.75,0.25,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,level0
textual-richlog-follow-state,0.75,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.75,1.0,0.75,0.75,0.25,1.0,1.0,0.25,0.5,0.5,0.75,1.0,0.75,0.75,0.0,0.75,0.75,1.0,0.5,0.75,0.5,0.25,0.25,0.25,1.0,0.75,0.0,0.0,1.0,0.25,0.0,0.75,0.75,0.5,0.0,0.0,0.0,level0
tomlkit-toml-table-converters,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,0.25,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.75,1.0,0.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.0,level0
true-myth-iterable-collection-combinators,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,0.75,1.0,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.0,level0
ts-pattern-match-each,1.0,0.5,1.0,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.5,0.75,0.5,0.75,0.75,0.75,1.0,1.0,0.5,1.0,0.75,1.0,0.5,0.5,1.0,0.25,1.0,0.75,0.5,0.75,0.5,0.5,0.75,1.0,0.5,1.0,0.25,0.5,0.75,0.25,0.75,1.0,0.5,0.0,level0
updo-policy-alerting,0.75,0.5,0.5,1.0,0.75,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,level0
valibot-recursive-schema-composition,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,1.0,0.5,0.25,1.0,0.5,0.25,0.5,0.5,1.0,0.75,0.75,0.75,0.25,0.5,0.75,0.75,0.75,0.5,0.25,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,level0
vitest-duration-sharding,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.5,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.75,0.75,0.5,0.75,1.0,0.0,0.5,0.0,0.75,0.25,0.5,0.0,0.0,0.0,level0
vulture-persistent-analysis-cache,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.75,0.75,0.0,0.25,0.5,0.25,0.5,0.5,0.75,0.25,0.0,1.0,0.25,0.25,0.25,0.5,0.75,1.0,0.0,0.5,0.25,0.75,0.25,0.25,0.25,0.5,0.75,0.75,0.25,0.25,0.0,level0
wasmi-trap-coredumps,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,0.0,0.5,1.0,0.75,0.75,1.0,1.0,0.5,1.0,0.0,0.0,0.75,0.25,0.5,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,level0
